,0
2177,5977
2178,6590
2179,665
2180,4055
2181,2112
2182,564
2183,10269
2184,1168
2185,9465
2186,1886
2187,8736
2188,1903
2189,6108
2190,3842
2191,7012
2192,1323
2193,679
2194,5001
2195,8676
2196,8133
2197,4452
2198,6776
2199,7197
2200,1262
2201,7915
2202,9206
2203,3265
2204,9165
2205,4206
2206,3726
2207,5848
2208,7981
2209,6262
2210,5772
2211,7342
2212,10717
2213,3223
2214,5443
2215,9902
2216,2795
2217,9277
2218,5079
2219,744
2220,10430
2221,5797
2222,7514
2223,6943
2224,2406
2225,5860
2226,10049
2227,7011
2228,10018
2229,9792
2230,10364
2231,4514
2232,807
2233,6191
2234,9238
2235,4722
2236,2155
2237,5630
2238,2377
2239,3618
2240,8507
2241,10031
2242,311
2243,7141
2244,8026
2245,9320
2246,7955
2247,4669
2248,8386
2249,7146
2250,6418
2251,8857
2252,4772
2253,4460
2254,4209
2255,4897
2256,3199
2257,9876
2258,6646
2259,5297
2260,1719
2261,7388
2262,117
2263,674
2264,6587
2265,2172
2266,3123
2267,4124
2268,8934
2269,420
2270,8348
2271,203
2272,6642
2273,9808
2274,8733
2275,890
2276,1751
2277,4748
2278,4728
2279,7779
2280,7743
2281,8262
2282,9533
2283,6527
2284,9786
2285,2320
2286,2587
2287,8975
2288,5728
2289,8313
2290,5071
2291,8995
2292,7704
2293,948
2294,916
2295,9742
2296,1846
2297,3864
2298,7605
2299,5534
2300,809
2301,7764
2302,5846
2303,7819
2304,2416
2305,272
2306,3802
2307,7684
2308,1522
2309,8585
2310,8294
2311,4506
2312,235
2313,4725
2314,1791
2315,8259
2316,1156
2317,6929
2318,5813
2319,2756
2320,6915
2321,10543
2322,7573
2323,6420
2324,4757
2325,1247
2326,1378
2327,10440
2328,9797
2329,6710
2330,6719
2331,10312
2332,9766
2333,874
2334,6603
2335,5856
2336,6740
2337,8698
2338,1398
2339,6288
2340,5270
2341,4567
2342,9934
2343,8261
2344,5674
2345,5027
2346,7492
2347,2522
2348,2502
2349,4114
2350,9825
2351,9672
2352,4051
2353,5038
2354,7812
2355,9232
2356,8361
2357,10747
2358,2651
2359,9222
2360,4628
2361,7612
2362,234
2363,10002
2364,1400
2365,8963
2366,9481
2367,9092
2368,2573
2369,1937
2370,776
2371,7958
2372,8605
2373,10250
2374,5302
2375,9545
2376,869
2377,9844
2378,872
2379,3670
2380,9292
2381,3194
2382,8649
2383,6344
2384,2100
2385,3734
2386,10694
2387,1375
2388,3464
2389,2458
2390,6424
2391,10371
2392,1351
2393,6643
2394,9720
2395,10676
2396,4792
2397,4550
2398,8513
2399,5515
2400,6973
2401,7396
2402,2979
2403,1382
2404,7330
2405,5466
2406,105
2407,8982
2408,1188
2409,4097
2410,8615
2411,613
2412,9596
2413,8129
2414,2946
2415,7643
2416,1805
2417,8347
2418,10127
2419,340
2420,2452
2421,6858
2422,8085
2423,22
2424,5581
2425,8123
2426,10121
2427,4041
2428,8831
2429,5690
2430,4507
2431,6485
2432,4388
2433,5352
2434,2386
2435,5523
2436,2476
2437,4106
2438,8587
2439,10102
2440,8540
2441,7097
2442,10755
2443,3238
2444,7101
2445,9499
2446,4525
2447,3694
2448,2028
2449,10358
2450,6841
2451,7329
2452,1084
2453,1319
2454,5563
2455,10503
2456,5788
2457,8977
2458,2553
2459,643
2460,2479
2461,6923
2462,6760
2463,1818
2464,9619
2465,1830
2466,2606
2467,10316
2468,4405
2469,9056
2470,3996
2471,1510
2472,77
2473,5516
2474,8795
2475,3893
2476,6808
2477,10656
2478,4140
2479,10402
2480,1106
2481,5213
2482,4660
2483,676
2484,2848
2485,581
2486,2989
2487,7767
2488,8760
2489,10226
2490,8127
2491,6190
2492,6028
2493,3240
2494,168
2495,4967
2496,4484
2497,542
2498,7899
2499,8428
2500,1164
2501,8199
2502,10222
2503,3400
2504,9038
2505,9856
2506,1567
2507,9517
2508,4466
2509,2898
2510,7852
2511,4687
2512,3121
2513,1868
2514,5999
2515,9897
2516,1720
2517,8734
2518,2083
2519,5036
2520,8040
2521,10619
2522,6893
2523,5784
2524,839
2525,9939
2526,6319
2527,1784
2528,10045
2529,10095
2530,7916
2531,8866
2532,4786
